Timestamp,User Count,Type,Name,Requests/s,Failures/s,25%,50%,75%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767722086,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1767722087,30,GET,/hotels,0.000000,0.000000,0,0,0,3,0,280.0,285.3037000168115,272.8253000532277,300.6922000204213,4632.0
1767722087,30,GET,/recommendations,0.000000,0.000000,0,0,0,1,0,79.31850000750273,79.31850000750273,79.31850000750273,79.31850000750273,215.0
1767722087,30,,Aggregated,0.000000,0.000000,0,0,0,4,0,270.0,233.8074000144843,79.31850000750273,300.6922000204213,3527.75
1767722088,90,GET,/hotels,0.000000,0.000000,89,310,1100,10,0,280.0,476.9298700091895,83.12319999095052,1156.419700011611,2337.5
1767722088,90,GET,/recommendations,0.000000,0.000000,1100,1100,1100,6,0,1085.8480000169948,741.9509833368162,73.62450001528487,1085.8480000169948,325.8333333333333
1767722088,90,POST,/reservation,0.000000,0.000000,0,0,0,1,0,191.27340003615245,191.27340003615245,191.27340003615245,191.27340003615245,64.0
1767722088,90,,Aggregated,0.000000,0.000000,110,1100,1100,17,0,300.0,553.6634117734674,73.62450001528487,1156.419700011611,1493.764705882353
1767722089,120,GET,/hotels,3.000000,0.000000,21,110,1100,24,0,110.0,373.3144458407575,14.720699982717633,1156.419700011611,1381.4583333333333
1767722089,120,GET,/recommendations,1.000000,0.000000,74,1100,1100,16,0,290.0,717.6871937481337,13.831399963237345,2144.3882000166923,426.625
1767722089,120,POST,/reservation,0.000000,0.000000,190,190,190,1,0,191.27340003615245,191.27340003615245,191.27340003615245,191.27340003615245,64.0
1767722089,120,,Aggregated,4.000000,0.000000,74,120,1100,41,0,190.0,503.263785370353,13.831399963237345,2144.3882000166923,976.7073170731708
1767722090,150,GET,/hotels,5.000000,0.000000,52,110,1100,39,0,120.0,486.4858846248796,14.720699982717633,3084.061300032772,1690.3333333333333
1767722090,150,GET,/recommendations,3.000000,0.000000,17,290,1100,24,0,110.0,741.2377666672304,11.478900036308914,3060.3264999808744,441.0833333333333
1767722090,150,POST,/reservation,0.500000,0.000000,190,190,190,1,0,191.27340003615245,191.27340003615245,191.27340003615245,191.27340003615245,64.0
1767722090,150,,Aggregated,8.500000,0.000000,36,120,1100,64,0,120.0,577.4051453190623,11.478900036308914,3084.061300032772,1196.453125
1767722091,180,GET,/hotels,7.333333,0.000000,24,99,1100,56,0,110.0,465.6432625062215,14.720699982717633,3084.061300032772,1599.982142857143
1767722091,180,GET,/recommendations,5.333333,0.000000,17,97,1100,31,0,79,709.2733258069793,11.478900036308914,4089.1141000320204,433.2903225806452
1767722091,180,POST,/reservation,0.333333,0.000000,190,190,190,1,0,191.27340003615245,191.27340003615245,191.27340003615245,191.27340003615245,64.0
1767722091,180,,Aggregated,13.000000,0.000000,20,99,1100,88,0,99,548.3496500045559,11.478900036308914,4089.1141000320204,1171.534090909091
1767722092,210,GET,/hotels,9.250000,0.000000,24,99,1100,74,0,100.0,437.44413108750547,14.720699982717633,3084.061300032772,1655.3513513513512
1767722092,210,POST,/login,0.000000,0.000000,0,0,0,1,0,374.08509996021166,374.08509996021166,374.08509996021166,374.08509996021166,64.0
1767722092,210,GET,/recommendations,5.750000,0.000000,17,74,1100,42,0,74,707.3208904753085,11.478900036308914,4089.1141000320204,424.23809523809524
1767722092,210,POST,/reservation,0.250000,0.000000,71,190,190,2,0,71,130.99375000456348,70.71409997297451,191.27340003615245,64.0
1767722092,210,,Aggregated,15.250000,0.000000,20,97,1100,119,0,99,527.0118966420815,11.478900036308914,4089.1141000320204,1180.7226890756303
1767722093,240,GET,/hotels,10.600000,0.000000,24,100,1100,95,0,110.0,510.1238400062644,14.720699982717633,3241.8526000110433,1685.378947368421
1767722093,240,POST,/login,0.000000,0.000000,370,370,370,1,0,374.08509996021166,374.08509996021166,374.08509996021166,374.08509996021166,64.0
1767722093,240,GET,/recommendations,5.800000,0.000000,15,24,1100,63,0,24,757.0116301603053,9.8852000082843,6103.035600041039,395.73015873015873
