Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761206773,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761206774,12,POST,/booking/add,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,285.515800002031,285.50040000118315,285.4850000003353,285.515800002031,85.0
1761206774,12,GET,/booking/listavailableappartments,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,12,0,500.0,497.0328416663203,488.0007000028854,503.05549999757204,4420.0
1761206774,12,GET,/search/search,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,431.69869999110233,434.71907999482937,431.69869999110233,440.69889999809675,28.0
1761206774,12,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,19,0,490.0,458.36791052486086,285.4850000003353,503.05549999757204,2807.8947368421054
1761206775,24,POST,/booking/add,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,310.0,305.9015399980126,285.4850000003353,339.07929999986663,77.0
1761206775,24,GET,/booking/listavailableappartments,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,24,0,150.0,299.1181041670643,41.99670000525657,503.05549999757204,4420.0
1761206775,24,GET,/search/search,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,19,0,430.0,340.50408947070156,54.25269999250304,638.6953000037465,28.0
1761206775,24,,Aggregated,0.000000,0.000000,310,490,500,500,600,630,640,640,640,640,640,48,0,310.0,316.20666458214447,41.99670000525657,638.6953000037465,2229.1041666666665
1761206776,48,POST,/booking/add,0.000000,0.000000,340,380,480,520,550,550,550,550,550,550,550,12,0,310.0,339.70635833126533,31.246799990185536,548.4188999980688,80.0
1761206776,48,DELETE,/booking/cancel,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,271.14050000091083,324.30980000208365,271.14050000091083,377.47910000325646,44.0
1761206776,48,GET,/booking/listavailableappartments,0.000000,0.000000,110,130,140,140,150,150,150,150,150,150,150,36,0,130.0,229.2981444443285,30.80380000756122,503.05549999757204,4420.0
1761206776,48,GET,/search/search,0.000000,0.000000,81,110,300,310,630,640,640,640,640,640,640,33,0,87,220.9189151502814,21.93589998933021,638.6953000037465,28.0
1761206776,48,,Aggregated,0.000000,0.000000,140,340,440,490,500,600,640,640,640,640,640,83,0,140.0,244.21871445704173,21.93589998933021,638.6953000037465,1940.867469879518
1761206777,60,POST,/booking/add,1.000000,0.000000,310,340,380,480,520,550,550,550,550,550,550,17,0,290.0,282.60495293943677,31.246799990185536,548.4188999980688,79.11764705882354
1761206777,60,DELETE,/booking/cancel,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,271.14050000091083,324.30980000208365,271.14050000091083,377.47910000325646,44.0
1761206777,60,PUT,/booking/change,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,5,260.0,249.96073999791406,19.537599990144372,406.6317999968305,290.0
1761206777,60,GET,/booking/listavailableappartments,8.500000,0.000000,110,120,130,130,140,150,150,150,150,150,150,48,0,120.0,199.16976666718256,30.80380000756122,503.05549999757204,4420.0
1761206777,60,GET,/search/search,2.500000,0.000000,75,110,130,130,310,630,640,640,640,640,640,56,0,79,159.97333928446875,13.283799999044277,638.6953000037465,28.0
1761206777,60,,Aggregated,12.000000,0.000000,120,160,310,410,500,520,630,640,640,640,640,128,5,120.0,197.04190078061856,13.283799999044277,638.6953000037465,1692.2734375
1761206778,72,POST,/booking/add,1.666667,0.000000,310,340,380,430,490,520,550,550,550,550,550,27,0,310.0,274.5187592588115,26.25919999263715,548.4188999980688,79.07407407407408
1761206778,72,DELETE,/booking/cancel,0.000000,0.000000,380,380,470,470,470,470,470,470,470,470,470,3,0,380.0,374.4059666690494,271.14050000091083,474.598300002981,44.0
1761206778,72,PUT,/booking/change,0.000000,0.000000,69,69,69,69,69,69,69,69,69,69,69,6,6,210.0,219.86779999618497,19.537599990144372,406.6317999968305,290.0
1761206778,72,GET,/booking/listavailableappartments,9.666667,0.000000,110,130,140,150,160,170,170,170,170,170,170,60,0,120.0,183.7618283338088,30.80380000756122,503.05549999757204,4420.0
1761206778,72,GET,/search/search,6.333333,0.000000,57,77,100,110,160,600,640,640,640,640,640,81,0,60,124.83796172733649,13.283799999044277,638.6953000037465,28.0
1761206778,72,,Aggregated,17.666667,0.000000,110,150,270,330,490,500,600,640,640,640,640,177,6,110.0,175.09613446279633,13.283799999044277,638.6953000037465,1533.7570621468926
1761206779,84,POST,/booking/add,3.000000,0.000000,310,340,410,480,500,550,760,760,760,760,760,35,0,310.0,284.2930771418781,26.25919999263715,757.8131999907782,77.57142857142857
1761206779,84,DELETE,/booking/cancel,0.500000,0.000000,380,460,460,470,470,470,470,470,470,470,470,5,0,380.0,375.36066000175197,271.14050000091083,474.598300002981,44.0
1761206779,84,PUT,/booking/change,1.000000,1.000000,69,69,69,69,69,69,69,69,69,69,69,6,6,210.0,219.86779999618497,19.537599990144372,406.6317999968305,290.0
1761206779,84,GET,/booking/listavailableappartments,9.250000,0.000000,130,150,170,280,310,330,330,330,330,330,330,72,0,140.0,203.6079402779352,30.80380000756122,503.05549999757204,4420.0
1761206779,84,GET,/search/search,8.500000,0.000000,58,82,97,110,140,600,640,640,640,640,640,99,0,61,114.90714242340846,13.283799999044277,638.6953000037465,28.0
1761206779,84,,Aggregated,22.250000,1.000000,110,170,300,330,490,500,600,640,760,760,760,217,6,110.0,180.56150506857315,13.283799999044277,757.8131999907782,1500.8617511520738
1761206780,96,POST,/booking/add,3.400000,0.000000,320,480,520,820,1500,1500,1600,1600,1600,1600,1600,52,0,320.0,477.15399422948116,26.25919999263715,1592.3536000045715,77.3076923076923
